text,label
This product is absolutely amazing! Best purchase I've ever made.,0
Terrible quality. Broke after one day. Complete waste of money.,0
Buy this now!!! Amazing deal!! 5 stars!!! Must have!!!,1
"Good product overall, does what it says. Shipping was fast.",0
BEST PRODUCT EVER!!! Changed my life!!! Order immediately!!!,1
Average product. Nothing special but works as expected.,0
I love love love this product! Buy it now you won't regret!!,1
Decent build quality. Had a minor issue but support was helpful.,0
DO NOT BUY. Scam product. Fake reviews everywhere on this page.,0
Works perfectly for my needs. Would recommend to friends.,0
